condition_id,scene_id,inflation_mm,budget_mm,direction_count,physx_collisions,physx_collision_rate,physx_safe_retention_rate,curobo_collisions,curobo_collision_rate
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,52,128,36,0.28125,0.71875,35,0.2734375
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,54,128,37,0.2890625,0.7109375,36,0.28125
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,56,128,38,0.296875,0.703125,37,0.2890625
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,58,128,38,0.296875,0.703125,38,0.296875
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,60,128,39,0.3046875,0.6953125,38,0.296875
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,2,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,4,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,6,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,8,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,10,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,12,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,14,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,16,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,18,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,20,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,22,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,24,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,26,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,28,128,3,0.0234375,0.9765625,2,0.015625
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,30,128,8,0.0625,0.9375,6,0.046875
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,32,128,11,0.0859375,0.9140625,9,0.0703125
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,34,128,14,0.109375,0.890625,12,0.09375
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,36,128,16,0.125,0.875,14,0.109375
