attempt_id,phase,round_id,execution_position,position_within_round,condition_id,scene_id,inflation_mm,planning_success,failure_reason,planning_reported_solve_time_s,planning_reported_total_time_s,measured_wall_time_s,trajectory_shape,trajectory_finite,maximum_absolute_joint_difference_rad,mean_absolute_joint_difference_rad,trajectory_length_rad,frozen_trajectory_length_rad,trajectory_length_difference_rad,exact_frozen_trajectory_match,tolerance_frozen_trajectory_match_1e_7_rad,status,error
round_02__position_11__multiscene_candidate_006__inflation_010mm,measured,2,31,11,multiscene_candidate_006__inflation_010mm,multiscene_candidate_006,10,True,,0.026056703567504884,0.0346836166381836,0.035126246002619155,"[41,7]",True,0.0,0.0,0.9451422691345215,0.9451422691345215,0.0,True,True,completed,
round_02__position_12__multiscene_candidate_006__inflation_015mm,measured,2,32,12,multiscene_candidate_006__inflation_015mm,multiscene_candidate_006,15,True,,0.026133632659912108,0.034987167358398436,0.0354682059987681,"[41,7]",True,0.0,0.0,0.9466080665588379,0.9466080665588379,0.0,True,True,completed,
round_02__position_13__multiscene_candidate_006__inflation_020mm,measured,2,33,13,multiscene_candidate_006__inflation_020mm,multiscene_candidate_006,20,True,,0.026837344169616695,0.036106815338134764,0.03662045500095701,"[41,7]",True,0.0,0.0,0.9485822916030884,0.9485822916030884,0.0,True,True,completed,
round_02__position_14__formal_baseline_v1__inflation_000mm,measured,2,34,14,formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,True,,0.02542540836334229,0.034119678497314454,0.034552422002889216,"[41,7]",True,0.0,0.0,0.9438674449920654,0.9438674449920654,0.0,True,True,completed,
round_02__position_15__formal_baseline_v1__inflation_005mm,measured,2,35,15,formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,True,,0.026807200431823733,0.03588521575927734,0.03630559200246353,"[41,7]",True,0.0,0.0,0.9439100027084351,0.9439100027084351,0.0,True,True,completed,
round_02__position_16__formal_baseline_v1__inflation_010mm,measured,2,36,16,formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,True,,0.025783776283264163,0.03466239929199219,0.035082441005215514,"[41,7]",True,0.0,0.0,0.9444064497947693,0.9444064497947693,0.0,True,True,completed,
round_02__position_17__formal_baseline_v1__inflation_015mm,measured,2,37,17,formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,True,,0.03543596839904785,0.04734873580932617,0.04777225200086832,"[41,7]",True,0.0,0.0,0.9454147815704346,0.9454147815704346,0.0,True,True,completed,
round_02__position_18__formal_baseline_v1__inflation_020mm,measured,2,38,18,formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,True,,0.02673206424713135,0.03667721557617187,0.037097214997629635,"[41,7]",True,0.0,0.0,0.9469339847564697,0.9469339847564697,0.0,True,True,completed,
round_02__position_19__multiscene_candidate_001__inflation_000mm,measured,2,39,19,multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,True,,0.02512534427642822,0.033739871978759765,0.03415813400351908,"[41,7]",True,0.0,0.0,0.9438675045967102,0.9438675045967102,0.0,True,True,completed,
round_02__position_20__multiscene_candidate_001__inflation_005mm,measured,2,40,20,multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,True,,0.02668902397155762,0.035591903686523436,0.036152556000160985,"[41,7]",True,0.0,0.0,0.9440393447875977,0.9440393447875977,0.0,True,True,completed,
