attempt_id,round_id,execution_position,condition_id,scene_id,inflation_mm,planning_success,trajectory_shape,trajectory_finite,maximum_absolute_joint_difference_rad,mean_absolute_joint_difference_rad,trajectory_length_rad,frozen_trajectory_length_rad,trajectory_length_difference_rad,exact_frozen_trajectory_match,tolerance_frozen_trajectory_match_1e_7_rad
round_04__position_05__multiscene_candidate_001__inflation_000mm,4,65,multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,True,"[41,7]",True,0.0,0.0,0.9438675045967102,0.9438675045967102,0.0,True,True
round_04__position_06__multiscene_candidate_001__inflation_005mm,4,66,multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,True,"[41,7]",True,0.0,0.0,0.9440393447875977,0.9440393447875977,0.0,True,True
round_04__position_07__multiscene_candidate_001__inflation_010mm,4,67,multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,True,"[41,7]",True,0.0,0.0,0.9447669386863708,0.9447669386863708,0.0,True,True
round_04__position_08__multiscene_candidate_001__inflation_015mm,4,68,multiscene_candidate_001__inflation_015mm,multiscene_candidate_001,15,True,"[41,7]",True,0.0,0.0,0.9460299015045166,0.9460299015045166,0.0,True,True
round_04__position_09__multiscene_candidate_001__inflation_020mm,4,69,multiscene_candidate_001__inflation_020mm,multiscene_candidate_001,20,True,"[41,7]",True,0.0,0.0,0.947810709476471,0.947810709476471,0.0,True,True
round_04__position_10__multiscene_candidate_005__inflation_000mm,4,70,multiscene_candidate_005__inflation_000mm,multiscene_candidate_005,0,True,"[41,7]",True,0.0,0.0,0.9438865780830383,0.9438865780830383,0.0,True,True
round_04__position_11__multiscene_candidate_005__inflation_005mm,4,71,multiscene_candidate_005__inflation_005mm,multiscene_candidate_005,5,True,"[41,7]",True,0.0,0.0,0.9450989365577698,0.9450989365577698,0.0,True,True
round_04__position_12__multiscene_candidate_005__inflation_010mm,4,72,multiscene_candidate_005__inflation_010mm,multiscene_candidate_005,10,True,"[41,7]",True,0.0,0.0,0.9485982656478882,0.9485982656478882,0.0,True,True
round_04__position_13__multiscene_candidate_005__inflation_015mm,4,73,multiscene_candidate_005__inflation_015mm,multiscene_candidate_005,15,True,"[41,7]",True,0.0,0.0,0.9550252556800842,0.9550252556800842,0.0,True,True
round_04__position_14__multiscene_candidate_005__inflation_020mm,4,74,multiscene_candidate_005__inflation_020mm,multiscene_candidate_005,20,True,"[41,7]",True,0.0,0.0,0.9647320508956909,0.9647320508956909,0.0,True,True
round_04__position_15__multiscene_candidate_006__inflation_000mm,4,75,multiscene_candidate_006__inflation_000mm,multiscene_candidate_006,0,True,"[41,7]",True,0.0,0.0,0.9438737630844116,0.9438737630844116,0.0,True,True
round_04__position_16__multiscene_candidate_006__inflation_005mm,4,76,multiscene_candidate_006__inflation_005mm,multiscene_candidate_006,5,True,"[41,7]",True,0.0,0.0,0.9442387819290161,0.9442387819290161,0.0,True,True
round_04__position_17__multiscene_candidate_006__inflation_010mm,4,77,multiscene_candidate_006__inflation_010mm,multiscene_candidate_006,10,True,"[41,7]",True,0.0,0.0,0.9451422691345215,0.9451422691345215,0.0,True,True
round_04__position_18__multiscene_candidate_006__inflation_015mm,4,78,multiscene_candidate_006__inflation_015mm,multiscene_candidate_006,15,True,"[41,7]",True,0.0,0.0,0.9466080665588379,0.9466080665588379,0.0,True,True
round_04__position_19__multiscene_candidate_006__inflation_020mm,4,79,multiscene_candidate_006__inflation_020mm,multiscene_candidate_006,20,True,"[41,7]",True,0.0,0.0,0.9485822916030884,0.9485822916030884,0.0,True,True
round_04__position_20__formal_baseline_v1__inflation_000mm,4,80,formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,True,"[41,7]",True,0.0,0.0,0.9438674449920654,0.9438674449920654,0.0,True,True
round_05__position_01__multiscene_candidate_001__inflation_015mm,5,81,multiscene_candidate_001__inflation_015mm,multiscene_candidate_001,15,True,"[41,7]",True,0.0,0.0,0.9460299015045166,0.9460299015045166,0.0,True,True
round_05__position_02__multiscene_candidate_001__inflation_020mm,5,82,multiscene_candidate_001__inflation_020mm,multiscene_candidate_001,20,True,"[41,7]",True,0.0,0.0,0.947810709476471,0.947810709476471,0.0,True,True
