condition_id,scene_id,inflation_mm,measured_attempts,success_count,failure_count,success_rate,c_curobo_m,c_physx_m,frozen_trajectory_length_rad,planner_solve_median_s,planner_solve_q1_s,planner_solve_q3_s,planner_solve_iqr_s,planner_solve_minimum_s,planner_solve_maximum_s,wall_time_median_s,wall_time_q1_s,wall_time_q3_s,wall_time_iqr_s,wall_time_minimum_s,wall_time_maximum_s
multiscene_candidate_005__inflation_000mm,multiscene_candidate_005,0,30,30,0,1.0,0.009976143017411232,0.009165994822978973,0.9438865780830383,0.026301343917846682,0.025924631595611574,0.02708587121963501,0.001161239624023435,0.02565820789337158,0.02796457576751709,0.03590013950088178,0.03510982625448378,0.03643673599799513,0.0013269097435113508,0.034646857995539904,0.03752143000019714
multiscene_candidate_005__inflation_005mm,multiscene_candidate_005,5,30,30,0,1.0,0.0161612369120121,0.015736129134893417,0.9450989365577698,0.035078511238098145,0.03462394380569458,0.03591077589988709,0.0012868320941925096,0.033107903480529784,0.03668089580535888,0.0475349480038858,0.046695699500560295,0.047976444504456595,0.0012807450038962997,0.04573538200202165,0.04964156699861633
multiscene_candidate_005__inflation_010mm,multiscene_candidate_005,10,30,30,0,1.0,0.022899232804775238,0.022179018706083298,0.9485982656478882,0.026284815311431887,0.025908223390579223,0.02699526381492615,0.0010870404243469266,0.025564287185668944,0.028561247825622558,0.03581677049805876,0.03507010675093625,0.03669036274550308,0.0016202559945668327,0.034710265994363,0.03849950100266142
multiscene_candidate_005__inflation_015mm,multiscene_candidate_005,15,30,30,0,1.0,0.029797252267599106,0.028019120916724205,0.9550252556800842,0.026347071170806882,0.02607650399208069,0.027077704191207884,0.0010012001991271946,0.025760383605957032,0.028516032218933104,0.035651702502946137,0.03532713574531954,0.03661899324833939,0.0012918575030198554,0.03465576600137865,0.03806864900252549
multiscene_candidate_005__inflation_020mm,multiscene_candidate_005,20,30,30,0,1.0,0.03561883047223091,0.03275231644511223,0.9647320508956909,0.026294992446899416,0.025981071949005126,0.02680616807937622,0.0008250961303710933,0.025511199951171876,0.027985024452209472,0.035855930495017674,0.03533129099923826,0.036421095252080704,0.0010898042528424412,0.03482214100222336,0.037544013997830916
multiscene_candidate_006__inflation_000mm,multiscene_candidate_006,0,30,30,0,1.0,0.010480690747499466,0.007789723575115204,0.9438737630844116,0.026078815937042237,0.025814480304718015,0.02645266366004944,0.0006381833553314245,0.024732960700988772,0.027945440292358396,0.035212988001148915,0.0349424342475686,0.03591510974911216,0.0009726755015435629,0.03438724899751833,0.0375449290004326
multiscene_candidate_006__inflation_005mm,multiscene_candidate_006,5,30,30,0,1.0,0.015894372016191483,0.012463882565498352,0.9442387819290161,0.02680950403213501,0.02600507974624634,0.027373815774917605,0.0013687360286712656,0.025446080207824708,0.028225184440612793,0.03597260350215947,0.03512098524697649,0.03651036675364594,0.0013893815066694515,0.03448912900057621,0.03826449000189314
multiscene_candidate_006__inflation_010mm,multiscene_candidate_006,10,30,30,0,1.0,0.02102765440940857,0.017423752695322037,0.9451422691345215,0.026204928398132328,0.025863312005996703,0.026862575769424437,0.0009992637634277345,0.025224287986755373,0.028079904556274418,0.035582686996349366,0.03494854774908163,0.03629664800428145,0.0013481002551998245,0.03422066500206711,0.03749275500013027
multiscene_candidate_006__inflation_015mm,multiscene_candidate_006,15,30,30,0,1.0,0.026262298226356506,0.022729892283678055,0.9466080665588379,0.026263296127319334,0.025891000747680665,0.026662864685058595,0.0007718639373779299,0.02483407974243164,0.027756799697875978,0.035766184500971576,0.035170424003808876,0.036536436495225644,0.0013660124914167682,0.034268315001099836,0.03788079399964772
multiscene_candidate_006__inflation_020mm,multiscene_candidate_006,20,30,30,0,1.0,0.031495556235313416,0.027728375047445297,0.9485822916030884,0.02602992057800293,0.025765023469924923,0.027091927766799927,0.001326904296875004,0.025395615577697754,0.028242079734802243,0.03520969150122255,0.034840534995964845,0.036229256500519114,0.001388721504554269,0.03439684500335716,0.03829326599952765
